Slot,Address,Speed,Status,Use,Updated,Release,Consisted,Consist,Throttle ID,Dir,F0,F1,F2,F3,F4,F5,F6,F7,F8
220,5956,(Consist),128 step,In Use,11:36:32,Release,sub(218),0,65 6B,Rev,false,false,false,false,false,true,false,false,false
221,9505,"        0",128 step,Idle,11:28:59,Release,none,0,6F 52,Fwd,false,false,false,false,false,false,false,false,false
222,4125,"        0",128 step,Idle,11:28:59,Release,none,0,61 1B,Fwd,true,false,false,false,false,false,false,false,false
223,3198,"        0",128 step,Idle,11:28:59,Release,none,0,53 5B,Fwd,true,false,false,false,false,false,false,false,false
224,5671,(Consist),128 step,In Use,11:36:32,Release,sub(21),1533,02 71,Fwd,false,false,false,false,false,false,false,false,false
225,4001,"        0",128 step,Idle,11:28:59,Release,none,0,6F 7B,Rev,true,false,false,false,false,false,false,false,true
226,778,"        0",128 step,Idle,11:28:59,Release,none,0,6D 44,Fwd,false,false,false,false,false,false,false,false,false
227,640,"        0",128 step,Idle,11:28:59,Release,none,0,64 45,Fwd,false,false,false,false,false,false,false,false,false
228,5641,"        0",128 step,Idle,11:28:59,Release,none,0,6D 34,Fwd,true,false,false,false,false,false,false,false,false
229,7082,"        0",128 step,Idle,11:28:59,Release,none,0,02 71,Fwd,false,false,false,false,false,false,false,false,true
230,4041,"        0",128 step,Idle,11:28:59,Release,none,0,53 17,Fwd,false,false,false,false,false,false,false,false,true
231,2557,"        0",128 step,Idle,11:29:00,Release,none,0,42 48,Fwd,false,false,false,false,false,false,false,false,false
232,142,"        0",128 step,Idle,11:29:00,Release,none,0,6C 04,Fwd,false,false,false,false,false,false,false,false,false
233,139,"        0",128 step,Idle,11:29:00,Release,none,0,6C 04,Fwd,false,false,false,false,false,false,false,false,false
234,140,"        0",128 step,Idle,11:29:00,Release,none,0,6C 04,Fwd,false,false,false,false,false,false,false,false,false
235,141,"        0",128 step,Idle,11:29:00,Release,none,0,6C 04,Fwd,false,false,false,false,false,false,false,false,false
236,145,"        0",128 step,Idle,11:29:00,Release,none,0,6C 04,Fwd,false,false,false,false,false,false,false,false,false
237,2627,"        0",128 step,Idle,11:29:00,Release,none,0,6C 04,Fwd,false,false,false,false,false,false,false,false,false
238,6035,"        0",128 step,Idle,11:29:00,Release,none,0,6D 2D,Rev,true,false,false,false,false,true,true,false,true
239,4150,(Consist),128 step,Common,11:36:32,Release,sub(244),6103,42 15,Fwd,true,false,false,false,false,false,false,false,true
240,5954,"        0",128 step,Idle,11:29:00,Release,none,0,65 6B,Fwd,false,false,false,false,false,false,false,false,false
241,6268,"        0",128 step,Idle,11:29:00,Release,none,0,65 0A,Fwd,false,false,false,false,false,false,false,false,true
242,755,"        0",128 step,Idle,11:29:00,Release,none,0,61 1B,Fwd,true,false,false,false,false,false,false,false,false
243,189,"        0",128 step,Idle,11:29:00,Release,none,0,53 17,Rev,false,false,false,false,false,false,false,false,false
244,6103,"        0",<unknown>,Idle,11:29:00,Release,none,0,02 71,Fwd,false,false,false,false,false,false,false,false,true
245,3277,"        0",128 step,Idle,11:29:00,Release,none,0,6F 7A,Fwd,false,false,false,false,false,false,false,false,true
246,917,"        0",128 step,Idle,11:29:00,Release,none,0,64 45,Fwd,false,false,false,false,false,false,false,false,false
247,3007,"        0",128 step,Idle,11:29:00,Release,none,0,42 13,Fwd,false,false,false,false,false,false,false,false,false
248,0,"        0"," 28 step",Free,11:29:01,Release,none,0,03 65,Fwd,false,false,false,false,false,false,false,false,false
249,210,(Consist),<unknown>,Free,11:29:00,Release,mid(93),0,03 0D,Fwd,false,false,false,false,false,false,false,false,false
250,0,"        0"," 28 step",Free,11:29:01,Release,none,0,03 0D,Fwd,false,false,false,false,false,false,false,false,false
251,2076,(Consist)," 14 step",Idle,11:29:01,Release,mid(0),0,03 5A,Fwd,false,false,false,false,false,false,false,false,false
252,0,"        0"," 28 step",Free,11:29:01,Release,none,0,03 17,Fwd,false,false,false,false,false,false,false,false,false
253,0,"        0"," 28 step",Free,11:29:01,Release,none,0,03 5A,Fwd,false,false,false,false,false,false,false,false,false
254,0,"        0"," 28 step",Free,11:29:01,Release,none,0,03 69,Fwd,false,false,false,false,false,false,false,false,false
255,0,"        0"," 28 step",Free,11:29:01,Release,none,0,03 65,Fwd,false,false,false,false,false,false,false,false,false
256,0,"        0"," 28 step",Free,11:29:01,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
257,6545,(Consist),128 step,Common,11:29:01,Release,sub(143),9297,42 15,Rev,false,false,false,false,false,false,false,false,false
258,7867,"        0",128 step,Idle,11:29:01,Release,none,0,6F 7A,Fwd,false,false,false,false,false,false,false,false,true
259,6510,"        0",128 step,Idle,11:29:01,Release,none,0,65 0A,Fwd,true,false,false,false,false,false,false,false,false
260,6203,"        0",128 step,Idle,11:29:01,Release,none,0,6F 52,Fwd,false,false,false,false,false,false,false,false,false
261,307,"        0",128 step,Idle,11:29:01,Release,none,0,02 71,Fwd,false,false,false,false,false,false,false,false,true
262,5334,(Consist),128 step,Common,11:36:33,Release,sub(346),5324,42 15,Rev,false,false,false,false,false,false,false,false,false
263,5344,"        0",<unknown>,Idle,11:29:01,Release,none,0,6F 7A,Rev,true,false,false,false,false,false,false,false,false
264,5672,(Consist),128 step,In Use,11:36:33,Release,sub(21),1533,02 71,Fwd,false,false,false,false,false,false,false,false,false
265,5629,(Consist),128 step,In Use,11:36:33,Release,sub(10),1111,02 71,Fwd,false,false,false,false,false,false,false,false,false
266,5622,"        0",128 step,Idle,11:29:01,Release,none,0,02 71,Fwd,true,false,false,false,false,false,false,false,false
267,1385,"        0",128 step,Idle,11:29:01,Release,none,0,42 15,Fwd,false,false,false,false,false,false,false,false,false
268,913,"        0",128 step,Idle,11:29:01,Release,none,0,6D 34,Fwd,false,false,false,false,false,false,false,false,false
269,52,"        0",128 step,Idle,11:29:01,Release,none,0,53 17,Fwd,true,false,false,false,false,false,false,false,false
